遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
9.6,5.62,4.45,17.82,17.82,43.76,-9.75,-8.77,-17,52.8,0,0.99
9.48,6.44,3.41,13.63,13.63,45.06,-12.49,-11.6,-23,52.8,0,0.9
8.28,7.29,1.82,7.28,8.17,42.7,-14.41,-13.61,-27,52.8,0,0.79
7.98,8.03,0.31,1.25,1.25,40.36,-16.04,-15.37,-30,52.8,0,0.68
6,8.78,-1.79,-7.17,-4.2,37.69,-17.38,-16.83,-33,52.8,0,0.55
1.92,9.42,-3.12,-12.48,-12.2,34.03,-19.23,-18.82,-37,52.8,0,0.41
0,9.95,-9.63,-38.53,-20.2,29.47,-20.84,-20.59,-41,52.8,0,0.26
0,10.31,-10.13,-40.53,-28.2,23.85,-22.02,-21.93,-43,52.8,0,0.09
0,10.48,-10.41,-41.63,-36.2,16.41,-22.62,-22.69,-45,52.8,0,-0.08
0,10.47,-10.51,-42.02,-42.02,7.33,-21.63,-21.87,-43,52.8,0,-0.24
0,10.22,-10.35,-41.39,-41.39,-2.59,-17.51,-17.89,-35,52.8,0,-0.38
0,9.83,-10.04,-40.17,-40.17,-12.03,-13.1,-13.58,-27,52.8,0,-0.49
0,9.28,-9.53,-38.13,-38.13,-20.22,-8.73,-9.29,-18,52.8,0,-0.56
0,8.62,-8.96,-35.82,-35.82,-27.48,-4.77,-5.37,-10,52.8,0,-0.6
0,7.79,-8.18,-32.74,-32.74,-34.1,-0.73,-1.34,-2,52.8,0,-0.62
0,6.93,-7.37,-29.46,-29.46,-39.69,3.01,2.41,4,52.8,0,-0.6
0,5.95,-6.45,-25.8,-25.8,-44.38,6.55,5.99,11,52.8,0,-0.56
0,4.92,-5.43,-21.74,-21.74,-48.38,9.9,9.4,18,52.8,0,-0.49
0,4.06,-4.48,-17.91,-17.91,-50.16,12.71,12.31,24,52.8,0,-0.4
0,3.06,-3.54,-14.15,-14.15,-49.39,14.32,14.02,28,52.8,0,-0.3
0,2.31,-2.69,-10.74,-10.74,-47.38,15.15,14.97,29,52.8,0,-0.18
0,1.59,-1.93,-7.74,-7.74,-42.4,15.05,14.98,29,52.8,0,-0.07
0,1.08,-1.28,-5.11,-5.11,-34.38,13.4,13.43,26,52.8,0,0.03
0,0.86,-0.94,-3.78,-3.78,-24.8,10.41,10.53,21,52.8,0,0.12
0,0.83,-0.83,-3.31,-3.31,-13.44,6.41,6.58,13,52.8,0,0.17
0,1.07,-0.92,-3.68,-3.68,-1.33,1.48,1.67,3,52.8,0,0.2
0,1.53,-1.29,-5.15,-5.15,10.28,-3.9,-3.72,-7,52.8,0,0.18
0,2.1,-1.81,-7.25,-7.25,20.59,-9.15,-9.04,-18,52.8,0,0.12
0,2.8,-2.43,-9.73,-9.73,28.95,-13.91,-13.89,-27,52.8,0,0.02
0,3.52,-3.14,-12.56,-12.56,35.15,-17.96,-18.07,-36,52.8,0,-0.11
0,4.22,-3.89,-15.55,-15.55,38.91,-21.15,-21.41,-42,52.8,0,-0.26
0,4.96,-4.61,-18.45,-18.45,39.85,-23.31,-23.74,-47,52.8,0,-0.43
0,5.56,-5.27,-21.07,-21.07,36.71,-23.94,-24.55,-49,52.8,0,-0.61
0,6,-5.81,-23.24,-23.24,30.57,-22.86,-23.65,-47,52.8,0,-0.78
0,6.29,-6.18,-24.7,-24.7,22.07,-20.53,-21.47,-42,52.8,0,-0.94
0,6.3,-6.33,-25.33,-25.33,11.47,-16.95,-18.02,-36,52.8,0,-1.08
0,6.04,-6.18,-24.71,-24.71,-1.09,-12.01,-13.19,-26,52.8,0,-1.18
0,5.55,-5.8,-23.19,-23.19,-13.52,-6.33,-7.57,-15,52.8,0,-1.24
0,4.83,-5.19,-20.78,-20.78,-25.57,-0.45,-1.7,-3,52.8,0,-1.25
0,3.92,-4.36,-17.43,-17.43,-36.73,5.51,4.29,8,52.8,0,-1.22
0,2.83,-3.36,-13.45,-13.45,-46.41,11.39,10.24,20,52.8,0,-1.15
0,1.55,-2.2,-8.81,-8.81,-53.28,16.5,15.47,30,52.8,0,-1.03
0,0.26,-0.9,-3.59,-3.59,-59.72,21.19,20.31,40,52.8,0,-0.88
0,-1.05,0.38,1.5,1.5,-62.99,25.41,24.71,49,52.8,0,-0.7
0,-2.14,1.62,6.47,6.47,-60.65,27.59,27.1,54,52.8,0,-0.49
0,-3.19,2.71,10.85,10.85,-55.23,27.56,27.28,54,52.8,0,-0.29
0,-4.02,3.63,14.51,14.51,-48.32,26.64,26.55,53,52.8,0,-0.08
0,-4.51,4.29,17.14,17.14,-37.75,24.31,24.41,48,52.8,0,0.1
0,-4.59,4.58,18.3,18.3,-22.92,19.63,19.89,39,52.8,0,0.26
0,-4.43,4.52,18.09,18.09,-6.12,13.05,13.42,26,52.8,0,0.37
-0.06,-4.07,4.29,17.17,17.17,8.89,6.15,6.58,13,52.8,0,0.43
0,-3.38,3.76,15.02,15.02,22.05,-0.17,0.27,0,52.8,0,0.44
0,-2.43,2.91,11.64,11.64,36.04,-6.95,-6.55,-13,52.8,0,0.4
0,-1.28,1.88,7.51,7.51,48.48,-14.06,-13.75,-27,52.8,0,0.31
0,0,0.63,2.5,2.5,57.48,-20.37,-20.21,-40,52.8,0,0.17
0,1.31,-0.67,-2.69,-2.69,63.09,-25.34,-25.35,-50,52.8,0,-0.01
0,2.6,-1.89,-7.58,-7.58,65.58,-28.93,-29.16,-58,52.8,0,-0.22
