遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出
0,-21.28,21.06,10.53,10.53,-20.13,36.55,-41.94,-68,26.4,-78.49
0,-21.17,21.3,10.65,10.65,-8.2,25.14,-42.57,-68,26.4,-67.71
0,-20.78,21.01,10.5,10.5,6.55,11.51,-74.91,-101,26.4,-86.42
0,-20.34,20.58,10.29,10.29,17.99,-3.06,-84.63,-111,26.4,-81.57
0,-20.22,20.29,10.15,10.15,17.19,-9.15,-24.85,-49,26.4,-15.7
0,-20.31,20.25,10.13,10.13,6.83,-2.57,51.32,77,26.4,53.89
0,-20.78,20.46,10.23,10.23,-7.16,10.09,90.42,116,26.4,80.33
0,-21.61,21.19,10.59,10.59,-23.04,25.59,119.6,145,26.4,94.01
0,-22.76,22.17,11.09,11.09,-39.06,42.1,120,146,26.4,95.67
0,-24.22,23.46,11.73,11.73,-55.72,59.08,120,146,26.4,99.51
0,-26.02,25.09,12.55,12.55,-72.39,76.49,120,146,26.4,98.68
0,-28.04,27.02,13.51,13.51,-90.93,95.1,120,146,26.4,110.3
0,-29.78,29.24,14.62,14.62,-105.51,113.76,120,146,26.4,98.58
0,-30.94,30.33,15.17,15.17,-108.96,124.38,120,146,26.4,44.44
0,-31.26,31.24,15.62,15.62,-98.51,120.33,69.33,95,26.4,-51.01
0,-32.1,31.32,15.66,15.66,-88.65,108.54,40.92,67,26.4,-67.62
0,-33.44,32.82,16.41,16.41,-79.94,101.31,56.37,82,26.4,-44.94
0,-33.91,33.81,16.9,16.9,-61.45,89.21,-2.4,-4,26.4,-91.6
0,-33.91,34,17,17,-32.19,64.59,-101.77,-128,26.4,-166.36
0,-33.96,33.91,16.95,16.95,-6.42,34.76,-120,-146,26.4,-172.61
0,-33.99,33.94,16.97,16.97,5.28,15.68,-76.82,-103,26.4,-92.5
0,-34.22,33.96,16.98,16.98,2.09,11.43,8.14,16,26.4,-3.28
0,-35.16,34.58,17.29,17.29,-14.32,22.11,104.96,131,26.4,82.85
0,-36.75,35.96,17.98,17.98,-39.09,43.79,120,146,26.4,137.95
0,-38.59,37.66,18.83,18.83,-67.53,72.24,120,146,26.4,171.75
0,-41.21,39.96,19.98,19.98,-95.8,101.37,120,146,26.4,166.26
0,-44.24,42.68,21.34,21.34,-126.6,132.36,120,146,26.4,182.62
0,-47.63,44.24,22.12,22.12,-155.93,148.72,120,146,26.4,186.89
0,-51.12,44.24,22.12,22.12,-180.43,148.72,120,146,26.4,186.89
外环 Kp=0.5，内环 Kp=1.0，Kd=0.03第二次测试,,,,,,,,,,
,,,,,,,,,,
0,0.32,-0.32,-0.16,-0.16,0.01,-0.17,-0.23,0,0.15,-0.05
0,0.32,-0.32,-0.16,-0.16,0,-0.17,-0.11,0,0.3,0.06
0,0.31,-0.32,-0.16,-0.16,0,-0.16,-0.13,0,1.2,0.03
0,0.31,-0.31,-0.16,-0.16,-0.02,-0.14,-0.05,0,2.7,0.1
0,0.31,-0.31,-0.15,-0.15,-0.02,-0.13,-0.08,0,5.7,0.05
0,0.3,-0.3,-0.15,-0.15,-0.03,-0.13,-0.12,0,6.45,0
0,0.3,-0.3,-0.15,-0.15,-0.03,-0.12,-0.08,0,8.25,0.04
0,0.3,-0.3,-0.15,-0.15,0,-0.13,-0.3,0,9.15,-0.16
0,0.29,-0.3,-0.15,-0.15,0.03,-0.17,-0.36,0,11.1,-0.19
0,0.29,-0.29,-0.15,-0.15,0.02,-0.17,-0.13,0,12,0.04
0,0.29,-0.29,-0.14,-0.14,0,-0.16,-0.11,0,12.75,0.05
0,0.28,-0.28,-0.14,-0.14,-0.02,-0.13,0.06,0,13.35,0.19
0,0.28,-0.28,-0.14,-0.14,-0.04,-0.11,-0.01,0,13.5,0.1
